"job_title_short","salary_year_avg"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
"Data Analyst","84500.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","84000.0"
"Data Analyst","83500.0"
"Data Analyst","83500.0"
"Data Analyst","83500.0"
"Data Analyst","83500.0"
"Data Analyst","83500.0"
"Data Analyst","83500.0"
"Data Analyst","83500.0"
"Senior Data Analyst","83298.0"
"Data Analyst","83200.0"
"Data Analyst","83000.0"
"Data Analyst","83000.0"
"Data Analyst","83000.0"
"Senior Data Analyst","83000.0"
"Data Analyst","83000.0"
"Data Analyst","82750.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Senior Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Senior Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82500.0"
"Data Analyst","82350.5"
"Senior Data Analyst","82058.0"
"Data Analyst","82000.0"
"Data Analyst","82000.0"
"Senior Data Analyst","82000.0"
"Data Analyst","82000.0"
"Data Analyst","82000.0"
"Data Analyst","82000.0"
"Data Analyst","82000.0"
"Data Analyst","81500.0"
"Data Analyst","81500.0"
"Data Analyst","81047.0"
"Data Analyst","81000.0"
"Data Analyst","81000.0"
"Data Analyst","81000.0"
"Data Analyst","81000.0"
"Senior Data Analyst","81000.0"
"Data Analyst","80740.0"
"Data Analyst","80500.0"
"Data Analyst","80500.0"
"Data Analyst","80500.0"
"Data Analyst","80250.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Senior Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Data Analyst","80000.0"
"Senior Data Analyst","80000.0"
"Data Analyst","79968.0"
"Data Analyst","79500.0"
"Data Analyst","79415.5"
"Data Analyst","79060.5"
"Data Analyst","79000.0"
"Senior Data Analyst","78500.0"
"Data Analyst","78040.0"
"Data Analyst","78000.0"
"Data Analyst","77500.0"
"Data Analyst","77500.0"
"Data Analyst","77500.0"
"Data Analyst","77500.0"
"Data Analyst","77500.0"
"Data Analyst","77500.0"
"Data Analyst","77500.0"
"Data Analyst","77500.0"
"Data Analyst","77500.0"
"Data Analyst","77350.0"
"Data Analyst","77000.0"
"Data Analyst","76842.0"
"Data Analyst","76783.0"
"Data Analyst","76559.0"
"Data Analyst","76500.0"
